Date,ts_polarity,twitter_volume
2017-02-08,0.07820855848633629,1261
2017-02-09,0.08395330559362332,1037
2017-02-10,0.019754257959427316,1067
2017-02-11,0.013495092150394905,580
2017-02-12,-0.07422223488012952,330
2017-02-13,0.008370334005583123,1197
2017-02-14,-0.005931984339025365,1703
2017-02-15,0.04063621333440906,1801
2017-02-16,0.06521505375174749,1123
2017-02-17,0.07669411069303836,1000
2017-02-18,0.09554451980888176,593
2017-02-19,0.07718152958152966,373
2017-02-20,0.08269635375162415,621
2017-02-21,0.06606758528327167,919
2017-02-22,0.0854190582778385,1132
2017-02-23,0.06879754568598813,1011
2017-02-24,0.03193220976955377,1038
2017-02-25,0.03686149963848917,579
2017-02-26,0.11098568297921736,338
2017-02-27,0.07000865313457982,1046
2017-02-28,0.06003494900460918,380
2017-03-01,0.12026363169729505,740
2017-03-02,0.08109499292508979,1018
2017-03-03,0.057956853432942074,972
2017-03-04,0.1271206675923657,471
2017-03-05,0.13233894136166852,332
2017-03-06,0.059286084653882826,724
2017-03-07,0.07869365090424879,896
2017-03-08,0.017570603999175316,323
2017-03-09,0.2073115315234441,483
2017-03-10,0.1654767917868928,582
2017-03-11,0.1784343505734032,378
2017-03-12,0.20177591036414555,243
2017-03-13,0.11421768707483004,84
2017-03-14,0.10075222726275933,379
2017-03-15,0.038529669599263294,590
2017-03-16,0.05711177506280945,802
2017-03-17,0.04759751225946191,728
2017-03-18,0.10338738609456817,520
2017-03-19,0.16948825169255274,83
2017-03-20,0.09978760934406078,504
2017-03-21,0.1009392664427341,1450
2017-03-22,0.0421855427782685,1094
2017-03-23,0.09202889502195866,715
2017-03-24,0.03485557921001964,698
2017-03-25,0.08038752067715485,283
2017-03-26,0.2637227728970375,191
2017-03-27,0.1314417530881816,571
2017-03-28,0.10865373977873977,129
2017-03-29,0.03904572237526771,643
2017-03-30,0.12530129386537614,723
2017-03-31,0.11378862011004877,148
2017-04-01,0.08894901258871851,181
2017-04-02,0.12278260717776855,245
2017-04-03,0.11862016466998265,630
2017-04-04,0.07082986642472594,677
2017-04-05,0.08163852346155717,753
2017-04-06,0.008184088195148709,588
2017-04-07,0.08343487514469664,480
2017-04-08,0.10443672128808056,272
2017-04-09,-0.10818472247449508,169
2017-04-10,0.08708246533827915,365
